id,name,gender,category,subcategory,subsubcategory,brand
23978,8x4 Men Deodorant Spray Beast 150ml,Man,Gezond & verzorging,Lichaamsverzorging,Deodorant,8x4
29438,1Auto Ruitensproeiervloeistof Zomer 4L,Unisex,Wonen & vrije tijd,Outdoor en vrije tijd,Outdoor en vrije tijd,1Auto
8533,8x4 Men Deodorant Spray Discovery 150 ml,Man,Gezond & verzorging,Lichaamsverzorging,Deodorant,8x4
7225,8x4 Deodorant Spray Heavenly 150ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Deodorant,8x4
8570,8x4 Deodorant Spray Unity 150 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Deodorant,8x4
9196,8x4 for Men Deodorant Spray Urban Spirit 150 ml,Man,Gezond & verzorging,Lichaamsverzorging,Deodorant,8x4
2036,8x4 Deodorant Spray Soft Kiss 150 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Deodorant,8x4
29100,Airwick Freshmatic Zijde en Lelie Navul. 250 ml,Gezin,Huishouden,Toilet en keuken,Toiletblokken,Airwick
31625,Airwick DoubleFresh Elektrische Luchtverfrisser Vanille 2x 19 ml,B2B,Huishouden,Toilet en keuken,Luchtverfrissers,Airwick
29099,Airwick Freshmatic Navulling Katoen 250 ml,Gezin,Huishouden,Toilet en keuken,Toiletblokken,Airwick
17043,Airwick Freshmatic Lavendel Navul. 250ml,Gezin,Huishouden,Toilet en keuken,Toiletblokken,Airwick
16118,Airwick Freshmatic Magnolia&Kersenbloem Navul. 250ml,Gezin,Huishouden,Toilet en keuken,Toiletblokken,Airwick
22309,Agfaphoto Alkaline Power Batterijen AA 4 st,Unisex,Elektronica & media,Elektronica & media,Batterijen,Agfa
16121,AirWick Freshmatic Jasmijn & Witte Bloemen Navul. 250 ml,B2B,Huishouden,Toilet en keuken,Toiletblokken,Airwick
8532,8x4 Deodorant Spray Modern Charme 150 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Deodorant,8x4
32520,Agfaphoto Alkaline Power Batterijen AAA 4 st,Unisex,Elektronica & media,Elektronica & media,Batterijen,Agfa
32483,Airwick Essential Oils Infusion Geurkaars Orange & Festive Spice,Unisex,Wonen & vrije tijd,Woonaccessoires,Kaarsen,Airwick
